"id"         ,"mark"         ,"model"             ,"fuel"             ,"gearbox" ,"mileage"  ,"year" ,"type"      ,"drive"       ,"hp"  ,"color"   ,"motorsize" ,"first_in_traffic" ,"region"         ,"price"
"1400654320" ,"Smart"         ,"fortwo"             ,"Bensin"              ,"Manuell"   ,"5 600"   ,"2015"     ,"Coupé"       ,"Tvåhjulsdriven" ,"71"  ,"Svart"  ,"999"          ,"2016-07-13"     ,"Skåne"          ,89000
"1400496757" ,"Volkswagen"    ,"Passat"             ,"Bensin"              ,"Automat"   ,"12 101"  ,"2008"     ,"Kombi"       ,NA               ,"301" ,"Blå"    ,"3597"         ,"2008-06-11"     ,"Stockholm"      ,210000
"1400481702" ,"Tesla"         ,"Model S"            ,"El"                  ,"Automat"   ,"10 313"  ,"2017"     ,"Halvkombi"   ,"Fyrhjulsdriven" ,"334" ,"Svart"  ,NA             ,"2017-12-29"     ,"Göteborg"       ,329000
"1400620098" ,"BMW"           ,"520"                ,"Diesel"              ,"Automat"   ,"30 709"  ,"2012"     ,"Kombi"       ,"Tvåhjulsdriven" ,"184" ,"Grå"    ,"1995"         ,"2011-09-28"     ,"Göteborg"       ,90000
"1400654127" ,"Volvo"         ,"V70"                ,"Miljöbränsle/Hybrid" ,"Automat"   ,"22 600"  ,"2009"     ,"Kombi"       ,"Tvåhjulsdriven" ,"200" ,"Grå"    ,"2521"         ,"2008-11-21"     ,"Kronoberg"      ,73000
"1400654068" ,"BMW"           ,"520"                ,"Diesel"              ,"Automat"   ,"19 847"  ,"2014"     ,"Kombi"       ,"Tvåhjulsdriven" ,"184" ,"Grå"    ,"1995"         ,"2014-02-28"     ,"Stockholm"      ,157000
"1400654321" ,"Volvo"         ,"V50"                ,"Diesel"              ,"Automat"   ,"23 694"  ,"2012"     ,"Kombi"       ,"Tvåhjulsdriven" ,"150" ,"Röd"    ,"1984"         ,"2014-06-16"     ,"Kronoberg"      ,55000
"1400654297" ,"Volvo"         ,"V70"                ,"Bensin"              ,"Automat"   ,"32 294"  ,"2008"     ,"Kombi"       ,"Tvåhjulsdriven" ,"170" ,"Grön"   ,"2435"         ,"2007-10-02"     ,"Gävleborg"      ,32000
"1400654262" ,"Ford"          ,"Focus"              ,"Diesel"              ,"Automat"   ,"4 450"   ,"2017"     ,"Kombi"       ,"Tvåhjulsdriven" ,"185" ,"Grå"    ,"1997"         ,"2017-09-14"     ,"Stockholm"      ,219000
"1400654271" ,"Volkswagen"    ,"Passat"             ,"Miljöbränsle/Hybrid" ,"Manuell"   ,"28 435"  ,"2010"     ,"Kombi"       ,"Tvåhjulsdriven" ,"150" ,"Svart"  ,"1390"         ,"2009-10-09"     ,"Göteborg"       ,35000
"1400654244" ,"Skoda"         ,"Octavia"            ,"Diesel"              ,"Manuell"   ,"17 863"  ,"2012"     ,"Kombi"       ,"Tvåhjulsdriven" ,"105" ,"Blå"    ,"1598"         ,"2012-04-20"     ,"Uppsala"        ,54000
"1400422256" ,"Audi"          ,"A6"                 ,"Diesel"              ,"Automat"   ,"17 745"  ,"2015"     ,"Kombi"       ,"Fyrhjulsdriven" ,"218" ,"Grå"    ,"2967"         ,"2014-12-12"     ,"Västernorrland" ,229000
"1400637709" ,"Dodge"         ,"Challenger"         ,"Bensin"              ,"Automat"   ,"6 850"   ,"2018"     ,"Coupé"       ,"Tvåhjulsdriven" ,"309" ,"Grön"   ,"3604"         ,"2020-06-02"     ,"Skaraborg"      ,297000
"1400623749" ,"Tesla"         ,"Model 3"            ,"El"                  ,"Automat"   ,"7 929"   ,"2019"     ,"Sedan"       ,"Fyrhjulsdriven" ,"441" ,"Blå"    ,NA             ,"2022-04-28"     ,"Örebro"         ,340000
"1400654190" ,"Volvo"         ,"V90 Cross Country"  ,"Diesel"              ,"Automat"   ,"25 480"  ,"2019"     ,"Kombi"       ,"Fyrhjulsdriven" ,"191" ,"Vit"    ,"1969"         ,"2018-06-28"     ,"Jämtland"       ,195000
"1400633015" ,"Volkswagen"    ,"Golf"               ,"Bensin"              ,"Automat"   ,"9 320"   ,"2018"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"111" ,"Röd"    ,"999"          ,"2017-11-15"     ,"Stockholm"      ,161900
"1400654336" ,"Renault"       ,"Clio"               ,"Bensin"              ,"Manuell"   ,"8 540"   ,"2016"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"74"  ,"Vit"    ,"1149"         ,"2016-05-31"     ,"Stockholm"      ,85000
"1400654135" ,"Hyundai"       ,"Tucson"             ,"Miljöbränsle/Hybrid" ,"Automat"   ,"3 619"   ,"2022"     ,"SUV"         ,"Fyrhjulsdriven" ,"266" ,"Grå"    ,"1598"         ,"2021-12-27"     ,"Västerbotten"   ,352000
"1400654143" ,"BMW"           ,"523"                ,"Bensin"              ,"Manuell"   ,"20 559"  ,"2007"     ,"Sedan"       ,"Tvåhjulsdriven" ,"177" ,"Grå"    ,"2497"         ,"2007-03-15"     ,"Dalarna"        ,40000
"1400653940" ,"Volkswagen"    ,"Golf"               ,"Bensin"              ,"Manuell"   ,"8 604"   ,"2018"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"111" ,"Grå"    ,"999"          ,"2017-10-30"     ,"Stockholm"      ,145000
"1400654173" ,"Ford"          ,"Fiesta"             ,"Bensin"              ,"Manuell"   ,"11 715"  ,"2016"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"101" ,"Vit"    ,"998"          ,"2015-12-29"     ,"Jönköping"      ,85000
"1400567539" ,"Volvo"         ,"XC70"               ,"Diesel"              ,"Automat"   ,"28 930"  ,"2008"     ,"Kombi"       ,"Fyrhjulsdriven" ,"206" ,"Vit"    ,"2401"         ,"2007-11-26"     ,"Skåne"          ,95000
"1400654118" ,"Cupra"         ,"Ateca"              ,"Bensin"              ,"Automat"   ,"3 900"   ,"2019"     ,"SUV"         ,"Fyrhjulsdriven" ,"301" ,"Vit"    ,"1984"         ,"2019-07-17"     ,"Stockholm"      ,300000
"1400620673" ,"Volvo"         ,"V70"                ,"Diesel"              ,"Automat"   ,"22 300"  ,"2014"     ,"Kombi"       ,"Fyrhjulsdriven" ,"164" ,"Brun"   ,"2400"         ,"2013-08-28"     ,"Stockholm"      ,142000
"1400654056" ,"Opel"          ,"Mokka"              ,"Bensin"              ,"Automat"   ,"9 453"   ,"2016"     ,"SUV"         ,"Tvåhjulsdriven" ,"141" ,"Vit"    ,"1364"         ,"2016-11-30"     ,"Stockholm"      ,125000
"1400629669" ,"Audi"          ,"A4"                 ,"Diesel"              ,"Automat"   ,"8 000"   ,"2016"     ,"Kombi"       ,"Fyrhjulsdriven" ,"191" ,"Vit"    ,"1968"         ,"2016-05-03"     ,"Göteborg"       ,219000
"1400604697" ,"BMW"           ,"520"                ,"Diesel"              ,"Automat"   ,"7 850"   ,"2020"     ,"Kombi"       ,NA               ,NA    ,NA       ,NA             ,NA               ,"Östergötland"   ,369900
"1400654018" ,"Peugeot"       ,"308"                ,"Bensin"              ,"Manuell"   ,"17 158"  ,"2014"     ,"Kombi"       ,"Tvåhjulsdriven" ,"131" ,"Svart"  ,"1199"         ,"2014-08-18"     ,"Stockholm"      ,72000
"1400654030" ,"BMW"           ,"X1"                 ,"Diesel"              ,"Automat"   ,"19 757"  ,"2011"     ,"SUV"         ,"Fyrhjulsdriven" ,"143" ,"Brun"   ,"1995"         ,"2011-06-14"     ,"Uppsala"        ,99000
"1400652248" ,"Volvo"         ,"V60"                ,"Miljöbränsle/Hybrid" ,"Automat"   ,"5 784"   ,"2020"     ,"Kombi"       ,"Fyrhjulsdriven" ,"340" ,"Grå"    ,"1969"         ,"2020-02-28"     ,"Stockholm"      ,349000
