"Id"         ,"Märke"         ,"Modell"             ,"Bränsle"             ,"Växellåda" ,"Miltal"  ,"Modellår" ,"Biltyp"      ,"Drivning"       ,"HK"  ,"Färg"   ,"Motorstorlek" ,"Datum i trafik" ,"Region"         ,"Pris"
"1400634226" ,"Volvo"         ,"V70"                ,"Diesel"              ,"Manuell"   ,"18 728"  ,"2014"     ,"Kombi"       ,"Tvåhjulsdriven" ,"181" ,"Svart"  ,"1969"         ,"2014-04-30"     ,"Kalmar"         ,125000
"1400634136" ,"Volkswagen"    ,"T-Roc"              ,"Bensin"              ,"Manuell"   ,"6 300"   ,"2020"     ,"SUV"         ,"Tvåhjulsdriven" ,"116" ,"Vit"    ,"999"          ,"2020-05-07"     ,"Skåne"          ,185000
"1400634372" ,"Volvo"         ,"V70"                ,"Diesel"              ,"Manuell"   ,"30 952"  ,"2012"     ,"Kombi"       ,"Tvåhjulsdriven" ,"116" ,"Vit"    ,"1560"         ,"2011-11-30"     ,"Stockholm"      ,55000
"1400634414" ,"Volkswagen"    ,"Golf"               ,"Bensin"              ,"Automat"   ,"4 789"   ,"2018"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"111" ,"Grå"    ,"999"          ,"2018-08-17"     ,"Västmanland"    ,175000
"1400589419" ,"BMW"           ,"335i"               ,"Bensin"              ,"Automat"   ,"22 393"  ,"2009"     ,"Kombi"       ,"Tvåhjulsdriven" ,"306" ,"Vit"    ,"2979"         ,"2009-07-06"     ,"Västmanland"    ,180500
"1400634295" ,"Hyundai"       ,"Tucson"             ,"Bensin"              ,"Automat"   ,"17 399"  ,"2005"     ,"Kombi"       ,"Fyrhjulsdriven" ,"176" ,"Röd"    ,"2656"         ,"2005-03-10"     ,"Halland"        ,50000
"1400634301" ,"Tesla"         ,"Model 3"            ,"El"                  ,"Automat"   ,"4 300"   ,"2021"     ,"Sedan"       ,"Fyrhjulsdriven" ,"441" ,"Blå"    ,NA             ,"2021-02-25"     ,"Stockholm"      ,399000
"1400575542" ,"Volkswagen"    ,"Caddy"              ,"Diesel"              ,"Automat"   ,"18 008"  ,"2013"     ,"Familjebuss" ,"Tvåhjulsdriven" ,"141" ,"Svart"  ,"1968"         ,"2013-02-21"     ,"Skåne"          ,139000
"1400634231" ,"BMW"           ,"116"                ,"Diesel"              ,"Manuell"   ,"16 200"  ,"2015"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"116" ,"Vit"    ,"1995"         ,"2015-01-20"     ,"Älvsborg"       ,115000
"1400634208" ,"Audi"          ,"A5"                 ,"Diesel"              ,"Automat"   ,"12 400"  ,"2015"     ,"Halvkombi"   ,"Fyrhjulsdriven" ,"191" ,"Svart"  ,"1968"         ,"2014-07-11"     ,"Kalmar"         ,195000
"1400244824" ,"BMW"           ,"X5"                 ,"Bensin"              ,"Automat"   ,"7 400"   ,"2018"     ,"SUV"         ,"Fyrhjulsdriven" ,"451" ,"Grå"    ,"4395"         ,"2018-04-17"     ,"Jönköping"      ,489000
"1400634191" ,"Volvo"         ,"XC60"               ,"Diesel"              ,"Manuell"   ,"23 595"  ,"2015"     ,"SUV"         ,"Fyrhjulsdriven" ,"181" ,"Vit"    ,"2400"         ,"2014-08-26"     ,"Värmland"       ,169000
"1400452101" ,"Fiat"          ,"Freemont"           ,"Diesel"              ,"Automat"   ,"15 413"  ,"2014"     ,"SUV"         ,"Fyrhjulsdriven" ,"170" ,"Vit"    ,"1956"         ,"2014-10-28"     ,"Västerbotten"   ,99000
"1400634170" ,"MINI"          ,"One"                ,"Bensin"              ,"Manuell"   ,"11 728"  ,"2012"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"75"  ,"Vit"    ,"1598"         ,"2012-05-11"     ,"Skåne"          ,67900
"1400634102" ,"Volvo"         ,"V40"                ,"Bensin"              ,"Automat"   ,"11 875"  ,"2018"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"153" ,"Blå"    ,"1498"         ,"2017-09-13"     ,"Göteborg"       ,209000
"1400634174" ,"Audi"          ,"S6"                 ,"Bensin"              ,"Automat"   ,"19 472"  ,"2007"     ,"Kombi"       ,NA               ,NA    ,NA       ,NA             ,NA               ,"Göteborg"       ,128000
"1400634033" ,"Volkswagen"    ,"Jetta"              ,"Diesel"              ,"Manuell"   ,"22 009"  ,"2011"     ,"Sedan"       ,"Tvåhjulsdriven" ,"141" ,"Grå"    ,"1968"         ,"2011-08-31"     ,"Värmland"       ,64900
"1400633984" ,"BMW"           ,"530"                ,"Diesel"              ,"Manuell"   ,"5 342"   ,"2011"     ,"Sedan"       ,"Tvåhjulsdriven" ,"245" ,"Grå"    ,"2993"         ,"2010-09-30"     ,"Västmanland"    ,180000
"1400634004" ,"BMW"           ,"325i"               ,"Bensin"              ,"Manuell"   ,"22 700"  ,"2006"     ,"Kombi"       ,"Tvåhjulsdriven" ,"218" ,"Grå"    ,"2497"         ,"2006-04-04"     ,"Jämtland"       ,68000
"1400523406" ,"Volvo"         ,"XC70"               ,"Diesel"              ,"Manuell"   ,"30 100"  ,"2012"     ,"Kombi"       ,"Tvåhjulsdriven" ,"164" ,"Svart"  ,"1984"         ,"2011-09-12"     ,"Östergötland"   ,84900
"1400634104" ,"Mitsubishi"    ,"Outlander"          ,"Miljöbränsle/Hybrid" ,"Automat"   ,"21 960"  ,"2014"     ,"SUV"         ,NA               ,"203" ,"Blå"    ,"1998"         ,"2013-11-28"     ,"Halland"        ,118000
"1400631577" ,"BMW"           ,"320"                ,"Diesel"              ,"Automat"   ,"31 600"  ,"2014"     ,"Kombi"       ,"Fyrhjulsdriven" ,"184" ,"Silver" ,"1995"         ,"2013-11-27"     ,"Västernorrland" ,99000
"1400583853" ,"Volvo"         ,"XC90"               ,"Diesel"              ,"Automat"   ,"13 162"  ,"2016"     ,"SUV"         ,"Fyrhjulsdriven" ,"225" ,"Blå"    ,"1969"         ,"2015-12-29"     ,"Göteborg"       ,354000
"1400633930" ,"Volkswagen"    ,"Passat"             ,"Diesel"              ,"Automat"   ,"22 852"  ,"2011"     ,"Kombi"       ,"Fyrhjulsdriven" ,"170" ,"Blå"    ,"1968"         ,"2011-07-12"     ,"Västmanland"    ,74000
"1400633662" ,"Volvo"         ,"XC90"               ,"Diesel"              ,"Automat"   ,"8 300"   ,"2016"     ,"SUV"         ,"Fyrhjulsdriven" ,"233" ,"Vit"    ,"1969"         ,"2015-11-27"     ,"Jönköping"      ,415000
"1400601620" ,"Audi"          ,"A4"                 ,"Bensin"              ,"Manuell"   ,"23 166"  ,"2010"     ,"Sedan"       ,"Tvåhjulsdriven" ,"211" ,"Grå"    ,"1984"         ,"2009-11-12"     ,"Stockholm"      ,55000
"1400633965" ,"Honda"         ,"Civic"              ,"Bensin"              ,"Automat"   ,"5 619"   ,"2020"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"127" ,"Grå"    ,"988"          ,"2020-09-03"     ,"Stockholm"      ,225000
"1400634032" ,"Volkswagen"    ,"Passat"             ,"Diesel"              ,"Automat"   ,"24 422"  ,"2014"     ,"Kombi"       ,"Fyrhjulsdriven" ,"177" ,"Röd"    ,"1968"         ,"2014-01-15"     ,"Skåne"          ,99000
"1400633878" ,"Audi"          ,"Q5"                 ,"Diesel"              ,"Automat"   ,"8 362"   ,"2017"     ,"SUV"         ,"Fyrhjulsdriven" ,"191" ,"Vit"    ,"1968"         ,"2017-11-01"     ,"Örebro"         ,265000
"1400578609" ,"BMW"           ,"120"                ,"Bensin"              ,"Automat"   ,"9 380"   ,"2019"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"184" ,"Vit"    ,"1998"         ,"2019-01-09"     ,"Stockholm"      ,212000
"1400633909" ,"Volvo"         ,"V60"                ,"Diesel"              ,"Manuell"   ,"24 331"  ,"2011"     ,"Kombi"       ,"Tvåhjulsdriven" ,"164" ,"Röd"    ,"1984"         ,"2011-04-21"     ,"Stockholm"      ,77000
"1400633731" ,"Mazda"         ,"2"                  ,"Bensin"              ,"Manuell"   ,"7 200"   ,"2010"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"85"  ,"Grå"    ,"1349"         ,"2011-02-28"     ,"Göteborg"       ,73500
"1400456473" ,"Fiat"          ,NA                   ,"Diesel"              ,"Manuell"   ,"26 460"  ,"2016"     ,"Cab"         ,"Tvåhjulsdriven" ,"149" ,"Vit"    ,"2287"         ,"2016-07-06"     ,"Stockholm"      ,179999
"1400633735" ,"BMW"           ,"520"                ,"Diesel"              ,"Automat"   ,"152 619" ,"2020"     ,"Kombi"       ,"Fyrhjulsdriven" ,"191" ,"Grå"    ,"1995"         ,"2019-08-05"     ,"Värmland"       ,290000
"1400633468" ,"BMW"           ,"525"                ,"Bensin"              ,"Manuell"   ,"10 047"  ,"2001"     ,"Kombi"       ,"Tvåhjulsdriven" ,"192" ,"Grå"    ,"2494"         ,"2001-02-07"     ,"Stockholm"      ,100000
"1400370407" ,"Audi"          ,"A4"                 ,"Diesel"              ,"Automat"   ,"23 500"  ,"2016"     ,"Kombi"       ,"Fyrhjulsdriven" ,"191" ,"Vit"    ,"1968"         ,"2015-11-30"     ,"Jönköping"      ,138000
"1400633813" ,"Audi"          ,"A4"                 ,"Diesel"              ,"Manuell"   ,"15 844"  ,"2013"     ,"Kombi"       ,"Fyrhjulsdriven" ,"245" ,"Vit"    ,"2967"         ,"2013-02-28"     ,"Dalarna"        ,160000
"1400633908" ,"Skoda"         ,"Octavia"            ,"Bensin"              ,"Automat"   ,"7 311"   ,"2012"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"123" ,"Silver" ,"1390"         ,"2011-12-20"     ,"Stockholm"      ,120000
"1400633902" ,"Hyundai"       ,"i40"                ,"Diesel"              ,"Automat"   ,"11 700"  ,"2014"     ,"Kombi"       ,"Tvåhjulsdriven" ,"136" ,"Blå"    ,"1685"         ,"2014-06-04"     ,"Skåne"          ,128500
"1400580273" ,"Volvo"         ,"XC90"               ,"Diesel"              ,"Automat"   ,"26 882"  ,"2011"     ,"SUV"         ,"Fyrhjulsdriven" ,"185" ,"Svart"  ,"2401"         ,"2010-09-09"     ,"Värmland"       ,100000
"1400633846" ,"Audi"          ,"A3"                 ,"Bensin"              ,"Manuell"   ,"19 804"  ,"2014"     ,"Halvkombi"   ,"Tvåhjulsdriven" ,"105" ,"Vit"    ,"1197"         ,"2014-04-04"     ,"Stockholm"      ,90000
